index,target
0,12729.0
1,11636.0
2,15922.0
3,15227.0
4,8620.0
5,13160.0
6,17254.0
7,8642.0
8,16144.0
9,18135.0
10,10841.0
11,22113.0
12,15365.0
13,13153.0
14,18339.0
15,13909.0
16,8553.0
17,15101.0
18,15695.0
19,8314.0
20,17764.0
21,18969.0
22,13433.0
23,27029.0
24,16889.0
25,15864.0
26,22786.0
27,17910.0
28,10777.0
29,18799.0
30,17899.0
31,9649.0
32,20159.0
33,19519.0
34,15360.0
35,30833.0
36,19812.0
37,18424.0
38,29004.0
39,22033.0
40,14959.0
41,23067.0
42,18397.0
43,12045.0
44,23358.0
45,22644.0
46,19765.0
47,33207.0
48,24096.0
49,21624.0
50,33379.0
51,22265.0
52,16967.0
53,24958.0
54,21917.0
55,14431.0
56,23253.0
57,26603.0
58,21987.0
59,38069.0
60,27184.0
61,23509.0
62,32569.0
63,26615.0
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
